iter	MultiClass
0	1.054502036
1	1.01593047
2	0.9710199084
3	0.9383692444
4	0.8956910143
5	0.8646218502
6	0.8328334033
7	0.8058200103
8	0.7768784392
9	0.7503175972
10	0.7272889234
11	0.7072944642
12	0.6820422173
13	0.6592619369
14	0.6327669351
15	0.6118342979
16	0.5914529065
17	0.5737824339
18	0.5536692907
19	0.5399864546
20	0.5243667332
21	0.5118605139
22	0.4995185122
23	0.4864556184
24	0.4740285443
25	0.464015791
26	0.4528766265
27	0.4399197957
28	0.4281265728
29	0.4169512581
30	0.407332161
31	0.3970332519
32	0.3865035453
33	0.3779133251
34	0.3698039758
35	0.3609525818
36	0.3530694865
37	0.3442866461
38	0.3356335506
39	0.328596448
40	0.3200801264
41	0.3111859582
42	0.3056086128
43	0.2987170566
44	0.2928689437
45	0.2864695552
46	0.2812267096
47	0.274670664
48	0.2690778726
49	0.2631654891
50	0.2576572561
51	0.2517396094
52	0.2461412784
53	0.2402764662
54	0.2359152745
55	0.2320290874
56	0.22753284
57	0.2232150862
58	0.219531132
59	0.2157391024
60	0.2116192797
61	0.2077895709
62	0.205255782
63	0.2018383017
64	0.1984601276
65	0.1950388406
66	0.1922090569
67	0.1878124445
68	0.1849501157
69	0.1813516262
70	0.1791239273
71	0.1766993688
72	0.1729500545
73	0.1706974136
74	0.1682593706
75	0.1657848776
76	0.1633421935
77	0.1610227512
78	0.158712723
79	0.1558106345
80	0.1531708534
81	0.1509118054
82	0.1487972535
83	0.147162665
84	0.1448722318
85	0.1426655879
86	0.1402293156
87	0.1385922537
88	0.1374564325
89	0.136236421
90	0.1344280829
91	0.1322486602
92	0.1301575473
93	0.1285684107
94	0.1272393675
95	0.1259185549
96	0.1245594968
97	0.1228849227
98	0.1214679847
99	0.1200636164
100	0.1188774129
101	0.1174118964
102	0.1159636281
103	0.1143097779
104	0.1123729733
105	0.1112078031
106	0.1101305193
107	0.1087376669
108	0.1073915078
109	0.1061431359
110	0.1050827531
111	0.1037783961
112	0.1026173925
113	0.1016743715
114	0.1007932505
115	0.09974538841
116	0.09858498189
117	0.09764680572
118	0.09618258512
119	0.09523079827
120	0.09409660485
121	0.09306363248
122	0.09175330533
123	0.09069666817
124	0.08968524232
125	0.08878347746
126	0.08758993463
127	0.08651149163
128	0.08564459251
129	0.08464327379
130	0.08399060073
131	0.08308801745
132	0.08230954088
133	0.08134005014
134	0.08050707313
135	0.07971351376
136	0.0787180205
137	0.07774207514
138	0.07704860883
139	0.0762079951
140	0.07544016302
141	0.07481217196
142	0.07411433037
143	0.07348616413
144	0.0725047035
145	0.07181204126
146	0.07116445246
147	0.07028341873
148	0.06947039841
149	0.06873126976
150	0.06793837511
151	0.06729454616
152	0.06674283721
153	0.06620898112
154	0.06547970503
155	0.06464503508
156	0.06400413745
157	0.06333967313
158	0.06274043101
159	0.06221877782
160	0.06173531329
161	0.06137576573
162	0.06097907592
163	0.06055106135
164	0.06007910099
165	0.05957594285
166	0.05915561775
167	0.05880621394
168	0.05839775459
169	0.05778353705
170	0.05727980985
171	0.05680509998
172	0.05633715017
173	0.05574614537
174	0.05517308456
175	0.05483264957
176	0.05423465111
177	0.05368460616
178	0.05336016719
179	0.05302220906
180	0.05251707594
181	0.05214432892
182	0.0517584771
183	0.05134061187
184	0.05093986193
185	0.05055526899
186	0.05005657979
187	0.04961006296
188	0.04927018916
189	0.04895625415
190	0.04855665686
191	0.04820357283
192	0.04786843596
193	0.04757175759
194	0.04723522013
195	0.04685236112
196	0.04654190604
197	0.04614139257
198	0.0458065343
199	0.04547354949
